qdate,rate_q,shock
2019-09-30,3.6584615384615384,-0.609519230769231
2019-12-31,3.7,-0.5401923076923074
2020-03-31,3.5215384615384617,-0.6235576923076924
2020-06-30,3.2392307692307694,-0.7426923076923075
2020-09-30,2.9523076923076923,-0.8277884615384616
2020-12-31,2.7607142857142857,-0.7663942307692309
2021-03-31,2.875833333333333,-0.46402358058608106
2021-06-30,3.003846153846154,-0.21014537545787526
2021-09-30,2.8721428571428573,-0.24355883699633685
2021-12-31,3.079230769230769,0.04112522893772885
2022-03-31,3.822307692307692,0.7466059981684978
2022-06-30,5.266153846153846,1.937086767399267
2022-09-30,5.623076923076923,1.96016369047619
2022-12-31,6.664615384615384,2.5137145146520146
2023-03-31,6.372307692307692,1.7843475274725273
2023-06-30,6.510769230769231,1.484443681318682
2023-09-30,7.04,1.492692307692308
2023-12-31,7.303846153846154,1.2284615384615378
2024-03-31,6.748461538461539,0.3073076923076936
2024-06-30,6.995384615384615,0.3380769230769225
2024-09-30,6.508461538461538,-0.25951923076923045
2024-12-31,6.632307692307692,-0.1316346153846153
2025-03-31,6.827692307692308,0.006826923076923563
2025-06-30,6.788461538461538,-0.06711538461538513
2025-09-30,6.5661538461538465,-0.2301923076923078
2025-12-31,6.239090909090908,-0.42416083916083913
