place_id,place_name,qdate,hpi_index,log_hpi,hpi_g,rate_q,shock,permits_q,permits_g
OK,Oklahoma,2025-01-01,381.05,5.942930600112127,1.2012552872178617,6.827692307692308,0.0068269230769235,3798.0,23.91300945576784
OK,Oklahoma,2025-04-01,376.98,5.932192135642911,-1.0738464469215891,6.788461538461538,-0.0671153846153851,4206.0,10.201193040289525
OK,Oklahoma,2025-07-01,379.33,5.938406538633336,0.6214402990424972,6.566153846153847,-0.2301923076923078,2581.0,-48.81855121839331
OR,Oregon,1991-01-01,100.0,4.605170185988092,,9.500769230769231,-0.5587499999999999,2857.0,-15.4650404988824
OR,Oregon,1991-04-01,101.83,4.623304756183574,1.8134570195481812,9.522307692307692,-0.3979807692307684,4815.0,52.18216284988442
OR,Oregon,1991-07-01,103.83,4.642754946315362,1.9450190131788505,9.273076923076925,-0.5553846153846163,4057.0,-17.125346660289686
OR,Oregon,1991-10-01,105.33,4.6570982788484505,1.434333253308839,8.69,-0.9979807692307698,4649.0,13.617697819564256
OR,Oregon,1992-01-01,108.22,4.684166192214589,2.7067913366138896,8.688461538461539,-0.8191346153846162,3674.0,-23.531408693446565
OR,Oregon,1992-04-01,110.08,4.701207374185033,1.7041181970443908,8.677692307692308,-0.6241346153846159,4774.0,26.184084126789383
OR,Oregon,1992-07-01,112.45,4.722508678405324,2.1301304220290973,8.017692307692307,-1.0234615384615395,4630.0,-3.0621146434079094
OR,Oregon,1992-10-01,114.96,4.744584241770769,2.207556336544503,8.192142857142857,-0.6281250000000007,3944.0,-16.032387320077746
OR,Oregon,1993-01-01,116.6,4.758749273916392,1.416503214562237,7.723333333333334,-0.8747550366300372,3936.0,-0.202994233623599
OR,Oregon,1993-04-01,119.32,4.781808959646548,2.3059685730156154,7.453076923076923,-0.8863576007326017,5545.0,34.26579352319852
OR,Oregon,1993-07-01,122.23,4.805904515789171,2.4095556142623487,7.087692307692308,-0.9785691391941392,5619.0,1.325471671201406
OR,Oregon,1993-10-01,125.82,4.834852314141884,2.894779835271244,7.046428571428572,-0.8143864468864459,4729.0,-17.24064614017582
OR,Oregon,1994-01-01,128.61,4.856784569277996,2.1932255136111856,7.295833333333333,-0.3909031593406586,5076.0,7.079533346141531
OR,Oregon,1994-04-01,132.4,4.885827643502908,2.9043074224912147,8.427692307692308,0.7722058150183146,6829.0,29.66041376174413
OR,Oregon,1994-07-01,135.0,4.90527477843843,1.944713493552186,8.594285714285714,0.8667250457875451,7157.0,4.690593876113525
